5	10	115
6	6	352
7	3	192
8	6	224
9	26	1090
10	4	600
11	31	3816
12	1	376
13	8	2090
14	36	3482
15	3	1270
16	9	720
17	23	3813
18	18	2782
19	15	2067
20	12	2620
21	6	1627
22	8	2650
23	5	1302
24	37	7048
25	18	3425
26	112	9110
27	10	2629
28	171	43088
29	13	1844
30	48	8140
31	16	1663
32	118	17408
33	40	6082
34	114	11514
35	127	19155
36	45	7372
37	59	10407
38	50	8812
39	617	65101
40	21	1720
41	142	11375
42	59	4336
43	62	7101
44	349	40292
45	432	47530
46	344	37274
47	410	47562
48	125	13648
49	164	17426
50	84	8850
51	213	20728
52	112	10644
53	266	23757
54	394	35056
55	90	7545
56	530	44040
57	240	19186
58	923	73300
59	381	28410
60	176	12880
61	504	34918
62	225	15334
63	226	14815
64	647	41408
65	114	6965
66	552	33868
67	359	21020
68	498	28888
69	2995	167017
70	276	15060
71	355	16974
72	230	11728
73	971	47837
74	1172	57952
75	308	14575
76	10268	464964
77	770	34429
78	361	16156
79	1231	52478
80	1744	73280
81	1938	78877
82	162	6578
83	1784	62161
84	1982	69268
85	1006	35705
86	702	25634
87	3954	138898
88	848	29600
89	462	15624
90	853	28180
91	2727	83639
92	1756	52132
93	2388	68437
94	3250	95408
95	1133	30985
96	4798	132160
97	716	18409
98	5778	152960
99	2105	50500
100	14662	346800
101	893	20392
102	1866	42148
103	1996	48346
104	1373	30872
105	2899	61855
106	2144	44586
107	9670	215706
108	894	18640
109	744135	2992608
110	1861	35650
111	29537	514162
112	6545	118016
113	20589	326296
114	17203	295864
115	20776	334825
116	20022	355064
117	2811	47746
118	1258	21330
119	3375	53504
120	3452	54520
121	32775	493998
122	5077	75300
123	2241	33925
124	13401	191848
125	1606	22125
126	9534	132688
127	6587	92984
128	259829	1911424
129	5369	73837
130	23563	321240
131	1959	23957
132	157211	1352152
133	2900	38034
134	4072	51840
135	9849	126235
136	6623	85056
137	3166	39278
138	3532	42748
139	6381	77346
140	1431	17300
141	1079326	3842389
142	291720	1434418
143	6077	67935
144	48670	515440
145	8540	90845
146	4799	51998
147	7158	76324
148	5498	58396
149	7908	81815
